https://code4fukui.github.io/rdf/#year,https://code4fukui.github.io/rdf/#number_of_days_held,https://code4fukui.github.io/rdf/#meeting_days,https://code4fukui.github.io/rdf/#number_of_proposals,https://code4fukui.github.io/rdf/#number_of_GeneralQuestioners,https://code4fukui.github.io/rdf/#number_of_RepresentativeQuestioners,https://code4fukui.github.io/rdf/#attendance_rate,https://code4fukui.github.io/rdf/#number_of_listeners
平成17年（武生市）,53,14,105,19,-,100,16
平成17年（今立町）,22,7,141,2,-,99,35
平成17年（10月～12月）,20,11,74,17,-,98,19
平成18年,63,25,189,59,13,98.3,63
平成19年,71,23,131,55,5,99.2,26
平成20年,77,26,186,52,7,98.5,68
平成21年,76,26,159,60,7,98.1,145
平成22年,94,29,163,66,7,99.8,133
平成23年,86,28,126,61,8,99.5,57
平成24年,91,28,156,56,7,99.8,65
平成25年,82,25,106,56,7,99.6,97
平成26年,96,28,103,53,5,99.8,88
平成27年,88,26,100,61,6,99.1,87
平成28年,91,26,82,52,6,99.13,144
平成29年,89,25,128,53,6,97.96,205
平成30年,95,27,106,54,6,97.1,135
令和元年,88,25,88,67,6,98.81,182
令和2年,98,26,119,55,6,98.5,264
令和3年,97,25,79,57,6,95.88,173
